cu_option,cu_119,cu,voltage_level,cycle,or_abbreviation,asset_ownership,gen,cmt,perg,stn,sdl,crs,min_cu,avg_cu,max_cu,cot_value,cu_without_cot
0,626.1331,626.1331,2,202505,BAJO PUTUMAYO,N/A,302.7536,27.0752,17.3043,56.7575,181.0986,41.1439,619.3685,626.1104,630.7946,0,626.1331
0,522.1438,522.1438,3,202505,BAJO PUTUMAYO,N/A,302.7536,27.0752,14.683,56.7575,79.7306,41.1439,515.4261,522.1213,526.7731,0,522.1438
0,816.4876,816.4876,1,202505,EPSA,100% OPERADOR,305.3213,92.9316,59.2953,56.7575,261.038,41.1439,809.0044,816.4625,821.6443,63.53,752.9576
0,745.1286,745.1286,1,202505,EPSA,100% USUARIO,305.3213,92.9316,59.2953,56.7575,189.679,41.1439,737.6454,745.1035,750.2853,63.53,681.5986
0,780.8081,780.8081,1,202505,EPSA,50% OPERADOR,305.3213,92.9316,59.2953,56.7575,225.3585,41.1439,773.3249,780.783,785.9648,63.53,717.2781
0,610.7163,610.7163,2,202505,EPSA,N/A,305.3213,29.4016,24.9078,56.7575,153.1842,41.1439,603.8422,610.6932,615.4533,0,610.7163
0,548.2479,548.2479,3,202505,EPSA,N/A,305.3213,29.4016,21.2498,56.7575,94.3738,41.1439,541.4387,548.225,552.9402,0,548.2479
0,763.2292,763.2292,1,202505,PUTUMAYO,100% OPERADOR,304.6911,27.9718,70.1918,56.7575,262.4731,41.1439,755.4946,763.2033,768.5593,0,763.2292
0,681.9289,681.9289,1,202505,PUTUMAYO,100% USUARIO,304.6911,27.9718,70.1918,56.7575,181.1728,41.1439,674.1943,681.903,687.259,0,681.9289
0,722.5791,722.5791,1,202505,PUTUMAYO,50% OPERADOR,304.6911,27.9718,70.1918,56.7575,221.823,41.1439,714.8445,722.5532,727.9092,0,722.5791
0,637.4398,637.4398,2,202505,PUTUMAYO,N/A,304.6911,27.9718,25.7769,56.7575,181.0986,41.1439,630.4927,637.4165,642.227,0,637.4398
0,524.5909,524.5909,3,202505,PUTUMAYO,N/A,304.6911,27.9718,14.296,56.7575,79.7306,41.1439,517.8478,524.5683,529.2376,0,524.5909
0,859.9796,859.9796,1,202505,EDEQ,100% USUARIO,304.6995,122.0431,58.8365,56.7575,276.4991,41.1439,852.5233,859.9546,865.1179,92.54,767.4396
0,910.4258,910.4258,1,202505,EDEQ,100% OPERADOR,304.6995,122.0431,58.8365,56.7575,326.9453,41.1439,902.9695,910.4008,915.5641,92.54,817.8858
0,885.2027,885.2027,1,202505,EDEQ,50% OPERADOR,304.6995,122.0431,58.8365,56.7575,301.7222,41.1439,877.7464,885.1777,890.341,92.54,792.6627
0,575.849,575.849,3,202505,EDEQ,N/A,304.6995,63.3331,19.0271,56.7575,90.8879,41.1439,569.0992,575.8264,580.5004,33.83,542.019
